#,Bodega,Vino,Tipo,País,Premios,Ptos
60,Bodega Carmine Granata SAICA,Carmine Granata Malbec Roble Gran Reserva 2009,Malbec,Argentina,5,167.38
61,Centre Vinicole de la Champagne Nicolas Feuillatte,Champagne Nicolas Feuillatte Brut Rosé,Champagne,France,8,166.8
62,Winzer Sommerach Der Winzerkeller,Sommeracher Katzenkopf Weißburgunder Spätlese Trocken Supremus 2010,Pinot Blanc,Germany,5,165.75
63,Morris Wines,Morris Old Premium Rare Liqueur Tokay,Dessert Wine,Australia,5,165.75
64,Morris Wines,Morris Old Premium Rare Liqueur Muscat,Dessert Wine,Australia,4,165
65,Cooperativa Vinícola Aurora Ltda.,Aurora Reserva Merlot 2011,Merlot,Brazil,10,164.88
66,Veteris Conventus -Vittori Roberto y Veronica,Veteris Conventus Malbec Partida Limitada 2012,Malbec,Argentina,5,164.26
67,Freixenet S.A. (Grupo Freixenet),Freixenet Elyssia Gran Cuvée Brut,Sparkling Wine,Spain,8,163.5
68,Jacobs Creek Pernod Ricard Pacific,Jacobs Creek Reserve Adelaide Hills Pinot Noir 2012,Pinot Noir,Australia,8,162.8
69,Parras Vinhos S.A. - Quinta do Gradil,Castelo Do Sulco Reserva 2011,Red,Portugal,4,162.75
70,Bodega Carmine Granata SAICA,Carmine Granata Semillón Dulce Natural 2007,Late Harvest,Argentina,5,161.88
71,Viña Luis Felipe Edwards Ltda,Luis Felipe Edwards 900 Blend 2010,Red,Chile,6,161.5
72,Vinicola San Lorenzo S.A. de C.V.,Casa Madero Chardonnay 2012,Chardonnay,Mexico,9,161.38
73,Bodegas Arzuaga Navarro SL,Arzuaga Crianza Ribera Del Duero Tinto Reserva 2009,Red,Spain,5,161.25
74,Champagne Raoul Collet,Champagne Collet Brut Millésimé 2004,Champagne,France,7,161
75,Bodega Trapiche SA,Trapiche Gran Medalla Malbec 2010,Malbec,Argentina,5,160.88
76,Bodega Trapiche SA,Trapiche Terroir Series Malbec Ambrosia 2010,Malbec,Argentina,5,160.85
77,Vino Matysak S.R.O.,Matysak Devin Prestige Gold Vyber Z Hrozna Biele Polosladké 2012,Devin,Slovakia,5,160.63
78,Gloria Ferrer Caves and Vineyards,Gloria Ferrer Sonoma Brut,Sparkling Wine,USA,7,160.63
79,Franschhoek Cellar,Franschhoek Statue De Femme Sauvignon Blanc 2012,Sauvignon Blanc,South Africa,7,160.5
80,Wollersheim Winery,Wollersheim Prairie Fume 2012,Seyval Blanc,USA,7,160.28
81,Chateau Frank Inc.,Chateau Frank Blanc De Noirs 2007,Sparkling Wine,USA,6,159.95
82,Domaines Listel S.A.S.,Château La Gordonne La Chapelle AOC côtes de provence 2012,Rose,France,4,159.5
83,Angelus Estate S.A.,Angelus Stallion 2011,Red,Bulgary,5,159.5
84,Taylors / Wakefield Wines Pty Ltd,Wakefield Jaraman Cabernet Sauvignon Clare Coonawarra 2010,Cabernet Sauvignon,Australia,7,159.48
85,Taylors / Wakefield Wines Pty Ltd,Taylors St Andrews Chardonnay Clare Valley 2012,Chardonnay,Australia,10,159.46
